problem_index,problem_text,matched_topic_id,matched_topic,similarity_score
14,"공통 모듈에 대한 명세 기법 중 해당 기능에 대해 일관되게 이해하고 한 가지로 해석될 수 있도록 작성하는 원칙은?
명확성
공통 모듈이란 여러 프로그램에서 공통적으로 사용되는 기능을...",6,"설계 모델링, 소프트웨어 아키텍처, 재사용, 모듈화, 결합도, 응집도 등을 포함한 공통 모듈 설계에 관한 주제입니다.",0.71897864
15,"객체지향 기법에서 클래스들 사이의 ‘부분-전체(part-whole)' 관계 또는 ’부분(is-a-part-of)'의 관계로 설명되는 연관성을 나타내는 용어는?
집단화
객체지향 기법...",7,"객체지향(OOP), 디자인 패턴 등을 포함한 객체지향 설계에 관한 주제입니다.",0.63251936
16,"CASE가 갖고 있는 주요 기능이 아닌 것은?
언어번역
CASE(Computer-Aided Software Engineering)는 소프트웨어 개발 과정을 지원하는 도구들의 총칭입...",47,"소프트웨어 생명주기 모델, 소프트웨어 개발 방법론, 요구공학 방법론, 비용산정 모델 등을 포함한 소프트웨어개발 방법론 선정에 관한 주제입니다.",0.75857306
17,"DBMS 분석시 고려사항으로 거리가 먼 것은?
네트워크 구성도
DBMS(데이터베이스 관리 시스템)를 분석할 때는 여러 가지 중요한 요소들을 고려해야 합니다.  데이터베이스의 안정적...",31,"스토리지, 분산 데이터베이스, 데이터베이스 이중화 구성, 데이터베이스 암호화, 접근제어 등을 포함한 물리요소 조사 분석에 관한 주제입니다.",0.7311866
18,"HIPO(Hierarchy Input Process Output)에 대한 설명으로 거리가 먼 것은?
상향식 소프트웨어 개발을 위한 문서화 도구이다.
HIPO는 계층적 입력-처리-출...",10,"내외부 송수신, 데이터 명세화, 오류 처리방안 명세화, 인터페이스 설계, 미들웨어 솔루션 등을 포함한 인터페이스 상세 설계에 관한 주제입니다.",0.6896043
19,"객체지향 분석 방법론 중 E-R 다이어그램을 사용하여 객체의 행위를 모델링하며, 객체식별, 구조 식별, 주체 정의, 속성 및 관계 정의, 서비스 정의 등의 과정으로 구성되는 것은?...",30,"데이터모델 개념, 개체-관계(E-R)모델, 논리적 데이터모델링, 데이터베이스 정규화, 논리 데이터모델 품질검증 등을 포함한 데이터모델링 및 설계에 관한 주제입니다.",0.7632663
20,"정렬된 N개의 데이터를 처리하는데 O(Nlog2N)의 시간이 소요되는 정렬 알고리즘은?
합병정렬
정렬된 N개의 데이터를 처리하는 데 걸리는 시간을 나타내는 표기법 O(Nlog₂N)...",13,"쿼리(Query) 성능 측정, 소스코드 인스펙션 등을 포함한 데이터 조작 프로시저 최적화에 관한 주제입니다.",0.6024091
21,"White Box Testing 에 대한 설명으로 옳지 않은 것은?
Base Path Testing, Boundary Value Analysis가 대표적인 기법이다.
화이트박스 테...",20,"결함관리 도구, 테스트 자동화 도구, 통합 테스트 등을 포함한 애플리케이션 통합 테스트에 관한 주제입니다.",0.6593573
22,"소프트웨어 품질 측정을 위해 개발자 관점에서 고려해야 할 항목으로 거리가 먼 것은?
간결성
소프트웨어 품질을 측정할 때 개발자는 여러 가지 요소를 고려합니다.  정확성은 소프트웨어...",21,"알고리즘, 소스코드 품질분석 도구, 코드 최적화 등을 포함한 애플리케이션 성능 개선에 관한 주제입니다.",0.6294958
23,"인터페이스 구현 검증도구 중 아래에서 설명하는 것은?
            - 서비스 호출, 컴포넌트 재사용 등 다양한 환경을 지원하는 테스트 프레임워크
- 각 테스트 대상 분산 ...",20,"결함관리 도구, 테스트 자동화 도구, 통합 테스트 등을 포함한 애플리케이션 통합 테스트에 관한 주제입니다.",0.81199646
24,"EAI(Enterprise Application Integration)의 구축 유형으로 옳지 않은 것은?
Tree
EAI(Enterprise Application Integrati...",16,"애플리케이션 패키징, 애플리케이션 배포 도구, 애플리케이션 모니터링 도구, DRM 등을 포함한 제품소프트웨어 패키징에 관한 주제입니다.",0.6648407
25,"다음 트리를 전위 순회(preorder traversal)한 결과는?
            ```
         +
        / \
       *   E
      / \...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.57686037
26,"인터페이스 보안을 위해 네트워크 영역에 적용될 수 있는 솔루션과 거리가 먼 것은?
SMTP
이 문제는 인터페이스 보안을 위해 네트워크 영역에 적용될 수 있는 솔루션을 묻고 있습니다...",55,"서비스 공격 유형, 서버 인증, 서버 접근통제, 보안 아키텍처, 보안 Framework 등을 포함한 시스템 보안 설계에 관한 주제입니다.",0.64924157
27,"평가 점수에 따른 성적부여는 다음 표와 같다. 이를 구현한 소프트웨어를 경계값 분석 기법으로 테스트 하고자 할 때 다음 중 테스트 케이스의 입력 값으로 옳지 않은 것은?
     ...",34,"물리데이터 모델 품질 기준, 물리 E-R 다이어그램, CRUD 분석, SQL 성능 튜닝 등을 포함한 물리데이터 모델 품질 검토에 관한 주제입니다.",0.67558473
28,"반정규화(Denormalization) 유형중 중복 테이블을 추가하는 방법에 해당하지 않는 것은?
빌드 테이블의 추가
반정규화는 데이터베이스의 성능을 향상시키기 위해 정규화된 데이...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.585531
29,"ISO/IEC 9126의 소프트웨어 품질 특성 중 기능성(Functionlity)의 하위 특성으로 옳지 않은 것은?
학습성
ISO/IEC 9126는 소프트웨어의 품질을 평가하기 위...",17,"제품소프트웨어 매뉴얼 작성, 국제 표준 제품 품질 특성 등을 포함한 제품소프트웨어 매뉴얼 작성에 관한 주제입니다.",0.7238357
30,"다음 트리의 차수(degree)와 단말 노드(terminal node)의 수는?
            ```
        A
       / \
      B   C
     /...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.57903314
31,"디지털 저작권 관리(DRM)의 기술 요소가 아닌 것은?
방화벽 기술
디지털 저작권 관리(DRM)은 디지털 콘텐츠의 저작권을 보호하기 위한 기술입니다.  쉽게 말해,  내가 만든 음...",53,"Secure SDLC(Software Development Life Cycle), 입력데이터 검증 및 표현, 보안기능(인증, 접근제어, 기밀성, 권한 관리 등), 에러처리, 세션통제 등을 포함한 SW개발 보안 설계에 관한 주제입니다.",0.6330081
32,"소프트 웨어 테스트에서 오류의 80%는 전체 모듈의 20% 내에서 발견된다는 법칙은?
Pareto의 법칙
소프트웨어 테스트를 진행하다 보면, 전체 코드에서 발견되는 오류의 대부분이...",14,"단위모듈 구현, 단위모듈 테스트 등을 포함한 모듈 구현에 관한 주제입니다.",0.6355678
33,"소프트웨어 형상 관리의 의미로 적절한 것은?
개발 과정의 변경 사항을 관리하는 것
소프트웨어 형상 관리란 소프트웨어 개발 과정에서 발생하는 모든 변경 사항을 체계적으로 관리하는 것...",18,"소프트웨어 버전관리 도구, 빌드 자동화 도구 등을 포함한 제품소프트웨어 버전관리에 관한 주제입니다.",0.70309615
34,"알고리즘 시간복잡도 O(1)이 의미하는 것은?
알고리즘 수행시간이 입력 데이터 수와 관계없이 일정
알고리즘의 시간 복잡도는 알고리즘이 수행되는 데 걸리는 시간을 입력 데이터의 크기...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.5591414
35,"소스코드 품질분석 도구 중 정적분석 도구가 아닌 것은?
valMeter
소스코드 품질분석 도구는 개발된 소스코드의 품질을 분석하는 도구입니다.  정적 분석 도구는 코드를 실행하지 ...",20,"결함관리 도구, 테스트 자동화 도구, 통합 테스트 등을 포함한 애플리케이션 통합 테스트에 관한 주제입니다.",0.62575626
36,"검증 검사 기법 중 개발자의 장소에서 사용자가 개발자 앞에서 행하는 기법이며, 일반적으로 통제된 환경에서 사용자와 개발자가 함께 확인하면서 수행되는 검사는?
알파 검사
이 문제는 ...",20,"결함관리 도구, 테스트 자동화 도구, 통합 테스트 등을 포함한 애플리케이션 통합 테스트에 관한 주제입니다.",0.6778398
37,"하향식 통합에 있어서 모듈 간의 통합 시험을 위해 일시적으로 필요한 조건만을 가지고 임시로 제공되는 시험용 모듈을 무엇이라고 하는가?
Stub
하향식 통합 방식은 큰 모듈부터 통합...",14,"단위모듈 구현, 단위모듈 테스트 등을 포함한 모듈 구현에 관한 주제입니다.",0.7566708
38,"SW 패키징 도구 활용 시 고려 사항과 거리가 먼 것은?
보안상 단일 기종에서만 사용할 수 있도록 해야 한다.
SW 패키징은 소프트웨어를 사용자에게 배포하기 위한 과정입니다.  마...",53,"Secure SDLC(Software Development Life Cycle), 입력데이터 검증 및 표현, 보안기능(인증, 접근제어, 기밀성, 권한 관리 등), 에러처리, 세션통제 등을 포함한 SW개발 보안 설계에 관한 주제입니다.",0.6822741
39,"외계인코드(Alien Code)에 대한 설명으로 옳은 것은?
아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 어려운 프로그램을 의미한다.
외계인 코드(Alien Cod...",42,"절차적 프로그래밍 언어, 객체지향 프로그래밍 언어, 스크립트 언어, 선언형 언어 등을 포함한 언어특성 활용에 관한 주제입니다.",0.5406106
40,"SQL 의 분류 중 DDL에 해당하지 않는 것은?
UPDATE
SQL은 데이터베이스를 관리하고 조작하는 데 사용되는 언어입니다.  SQL은 크게 데이터 정의어(DDL), 데이터 조...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.7958027
41,"다음 두 릴레이션에서 외래키로 사용된 것은? (단 밑줄 친 속성은 기본키이다.)
            ```
과목(과목번호, 과목명)
수강(수강번호, 학번, 과목번호, 학기)
``...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.5537121
42,"데이터 무결성 제약조건 중 “개체 무결성 제약”조건에 대한 설명으로 맞는 것은?
기본키에 속해 있는 애트리뷰트는 널값이나 중복값을 가질 수 없다.
데이터 무결성이란 데이터베이스에 ...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.63448787
43,"뷰(view)에 대한 설명으로 옳지 않은 것은?
뷰는 저장장치 내에 물리적으로 존재한다.
뷰(view)는 데이터베이스에 저장된 실제 데이터가 아닌, 기존 테이블의 데이터를 기반으로...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.539008
44,"다음 SQL 문의 실행 결과는?
            ```
SELECT 가격 FROM 도서가격
WHERE 책번호 = (SELECT 책번호
FROM 도서 WHERE 책명='자료구조...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.61781776
45,"데이터베이스의 논리적 설계(logical design) 단계에서 수행하는 작업이 아닌 것은?
레코드 집중의 분석 및 설계
데이터베이스의 논리적 설계 단계는 데이터베이스가 어떻게 구...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.7987013
46,"이행적 함수 종속 관계를 의미하는 것은?
A→B이고 B→C 일 때, A→C를 만족하는 관계
이 문제는 이행적 함수 종속성의 개념을 묻고 있습니다. 함수 종속성이란, 어떤 속성(A)...",8,"내외부 인터페이스 요구사항, 요구공학 등을 포함한 인터페이스 요구사항 확인에 관한 주제입니다.",0.5341966
47,"하나의 애트리뷰트가 가질 수 있는 원자값들의 집합을 의미하는 것은?
도메인
하나의 애트리뷰트(속성)가 가질 수 있는 값들의 집합을 묻는 문제입니다.  데이터베이스를 설계할 때, 각...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.655703
48,"STUDENT 테이블에 독일어과 학생 50명, 중국어과 학생 30명, 영어영문학과 학생 50명의 정보가 저장되어 있을 때, 다음 두 SQL문의 실행 결과 튜플 수는? (단, DEP...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.6730343
49,"관계대수 연산에서 두 릴레이션이 공통으로 가지고 있는 속성을 이용하여 두 개의 릴레이션을 하나로 합쳐서 새로운 릴레이션을 만드는 연산은?
nan
두 개의 릴레이션(관계형 데이터베이...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.66448605
50,"트랜잭션의 특성 중 다음 설명에 해당하는 것은?
            트랜잭션의 연산은 데이터베이스에 모두 반영되든지 아니면 전혀 반영되지 않아야 한다.
        
Atomi...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.58988047
51,"분산 데이터베이스 목표 중 “데이터베이스의 분산된 물리적 환경에서 특정 지역의 컴퓨터 시스템이나 네트워크에 장애가 발생해도 데이터 무결성이 보장된다”는 것과 관계있는 것은?
장애 ...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.5939578
52,"데이터베이스 시스템에서 삽입, 갱신, 삭제 등의 이벤트가 발생할 때마다 관련 작업이 자동으로 수행되는 절차형 SQL은?
트리거(trigger)
데이터베이스 시스템에서 데이터가 변경...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.65029407
53,"참조 무결성을 유지하기 위하여 DROP문에서 부모 테이블의 항목 값을 삭제할 경우 자동적으로 자식 테이블의 해당 레코드를 삭제하기 위한 옵션은?
CASCADE
부모 테이블과 자식 ...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.57057637
54,"DML에 해당하는 SQL 명령으로만 나열된 것은?
SELECT, INSERT, DELETE, UPDATE
이 문제는 데이터베이스를 조작하는 SQL 명령어 중 DML(Data Man...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.76456547
55,"데이터 제어언어(DCL)의 기능으로 옳지 않은 것은?
논리적, 물리적 데이터 구조 정의
데이터 제어 언어(DCL)은 데이터베이스 시스템에서 데이터에 대한 접근 권한을 관리하고 제어...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.7020782
56,"병행제어의 로킹(Locking) 단위에 대한 설명으로 옳지 않은 것은?
로킹 단위가 작아지면 로킹 오버헤드가 감소한다.
병행 제어에서 로킹(Locking)은 여러 사용자가 동시에 ...",32,"파티셔닝, 클러스터링, 데이터베이스 백업, 테이블 저장 사이징, 데이터 지역화(locality) 등을 포함한 데이터베이스 물리속성 설계에 관한 주제입니다.",0.49759912
57,"E-R 모델의 표현 방법으로 옳지 않은 것은?
속성: 오각형
E-R 모델은 데이터베이스 설계에 사용되는 개체-관계 모델입니다.  데이터베이스를 구성하는 요소들을 시각적으로 표현하여...",30,"데이터모델 개념, 개체-관계(E-R)모델, 논리적 데이터모델링, 데이터베이스 정규화, 논리 데이터모델 품질검증 등을 포함한 데이터모델링 및 설계에 관한 주제입니다.",0.7472966
58,"다음 설명의 ( )안에 들어갈 내용으로 적합한 것은?
            후보키는 릴레이션에 있는 모든 튜플에 대해 유일성과 (    )을 모두 만족시켜야 한다.
        ...",14,"단위모듈 구현, 단위모듈 테스트 등을 포함한 모듈 구현에 관한 주제입니다.",0.50506306
59,"정규화 과정 중 1NF에서 2NF가 되기 위한 조건은?
1NF를 만족하고 키가 아닌 모든 속성이 기본키에 대하여 완전 함수적 종속 관계를 만족해야 한다.
데이터베이스 정규화는 데이...",33,"데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화 등을 포함한 물리 데이터베이스 모델링에 관한 주제입니다.",0.74154514
60,"IPv6에 대한 설명으로 틀린 것은?
패킷 크기가 64Kbyte로 고정되어 있다.
IPv6는 인터넷 프로토콜 버전 6으로, 기존 IPv4의 주소 부족 문제를 해결하기 위해 개발된 ...",45,"인터넷 구성의 개념, 네트워크 7계층, IP, TCP/UDP 등을 포함한 네트워크 기초 활용에 관한 주제입니다.",0.5767673
61,"C언어에서 비트 논리연산자에 해당하지 않는 것은?
?
C언어에서 비트 논리 연산자는 컴퓨터가 숫자를 2진수(0과 1로 이루어진 수)로 처리할 때, 각 비트(0 또는 1) 단위로 연...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.5964178
62,"TCP/IP 프로토콜 중 전송계층 프로토콜은?
TCP
TCP/IP 프로토콜은 인터넷에서 데이터를 주고받는 데 사용되는 일종의 통신 규약입니다.  이 프로토콜은 여러 계층으로 나뉘는...",45,"인터넷 구성의 개념, 네트워크 7계층, IP, TCP/UDP 등을 포함한 네트워크 기초 활용에 관한 주제입니다.",0.6578036
63,"시스템에서 모듈 사이의 결합도(Coupling)에 대한 설명으로 옳은 것은?
모듈간의 결합도를 약하게 하면 모듈 독립성이 향상된다.
시스템에서 모듈이란, 특정 기능을 수행하는 독립...",14,"단위모듈 구현, 단위모듈 테스트 등을 포함한 모듈 구현에 관한 주제입니다.",0.7269672
64,"은행가 알고리즘(Banker's Algorithm)은 교착상태의 해결 방법 중 어떤 기법에 해당하는가?
Avoidance
은행가 알고리즘은 시스템의 자원 할당을 미리 검사하여 교착...",13,"쿼리(Query) 성능 측정, 소스코드 인스펙션 등을 포함한 데이터 조작 프로시저 최적화에 관한 주제입니다.",0.49385893
65,"UNIX의 쉘(Shell)에 관한 설명으로 옳지 않은 것은?
프로세스, 기억장치, 입출력 관리를 수행한다.
UNIX 시스템에서 쉘(Shell)은 사용자가 명령어를 입력하면 그 명령...",9,"시스템 아키텍쳐, 인터페이스 시스템 등을 포함한 인터페이스 대상 식별에 관한 주제입니다.",0.608665
66,"교착 상태 발생의 필요 충분 조건이 아닌 것은?
선점(preemption)
교착 상태(Deadlock)는 두 개 이상의 프로세스가 서로 상대방이 갖고 있는 자원을 기다리면서 영원히...",8,"내외부 인터페이스 요구사항, 요구공학 등을 포함한 인터페이스 요구사항 확인에 관한 주제입니다.",0.39467996
67,"OSI-7계층에서 종단간 신뢰성 있고 효율적인 데이터를 전송하기 위해 오류검출과 복구, 흐름 제어를 수행하는 계층은?
전송 계층
OSI 7계층 모델에서 데이터를 안전하고 효율적으로...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.60477024
68,"IPv6의 주소체계로 거리가 먼 것은?
Broadcast
IPv6은 차세대 인터넷 프로토콜로, 기존 IPv4보다 훨씬 더 많은 IP 주소를 지원하여 인터넷 연결 장치의 폭발적인 증...",45,"인터넷 구성의 개념, 네트워크 7계층, IP, TCP/UDP 등을 포함한 네트워크 기초 활용에 관한 주제입니다.",0.6246956
69,"TCP/IP 네트워크에서 IP 주소를 MAC 주소로 변환하는 프로토콜은?
ARP
TCP/IP 네트워크에서 컴퓨터는 서로 통신하기 위해 IP 주소를 사용합니다.  IP 주소는 네트워...",49,"IT 신기술 및 네트워크 장비 트렌드 정보, 네트워크 장비(라우터, 백본 스위치 등) 등을 포함한 네트워크 구축 관리에 관한 주제입니다.",0.5782429
70,"프로세스 상태의 종류가 아닌 것은?
Request
이 문제는 운영체제에서 프로세스의 상태를 묻고 있습니다.  프로세스는 컴퓨터가 실행 중인 프로그램을 의미하는데요, 이 프로세스는 ...",44,"운영체제 종류, 메모리 관리, 프로세스 스케쥴링, 환경변수, shell script 등을 포함한 운영체제 기초 활용에 관한 주제입니다.",0.5778326
71,"스레드(Thread)에 대한 설명으로 옳지 않은 것은?
한 개의 프로세스는 여러 개의 스레드를 가질 수 없다.
이 문제는 스레드(Thread)의 개념에 대한 이해도를 묻고 있습니다...",44,"운영체제 종류, 메모리 관리, 프로세스 스케쥴링, 환경변수, shell script 등을 포함한 운영체제 기초 활용에 관한 주제입니다.",0.5495093
72,"HRN(Highest Response-ratio Next) 스케줄링 방식에 대한 설명으로 옳지 않은 것은?
우선 순위를 계산하여 그 수치가 가장 낮은 것부터 높은 순으로 우선 순위...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.5053438
73,"IEEE 802.11 워킹 그룹의 무선 LAN 표준화 현황 중 QoS 강화를 위해 MAC 지원 가능을 채택한 것은?
802.11e
이 문제는 무선랜 표준인 IEEE 802.11의 ...",45,"인터넷 구성의 개념, 네트워크 7계층, IP, TCP/UDP 등을 포함한 네트워크 기초 활용에 관한 주제입니다.",0.5848962
74,"C언어에서 사용할 수 없는 변수명은?
text-color
C언어에서 변수명을 지을 때는 몇 가지 규칙을 따라야 합니다.  변수명은 영문자(대소문자 구분), 숫자, 그리고 밑줄(_)...",42,"절차적 프로그래밍 언어, 객체지향 프로그래밍 언어, 스크립트 언어, 선언형 언어 등을 포함한 언어특성 활용에 관한 주제입니다.",0.57573867
75,"스크립트 언어가 아닌 것은?
Cobol
이 문제는 다양한 프로그래밍 언어 중에서 스크립트 언어가 아닌 것을 고르는 문제입니다.  스크립트 언어는 컴파일 과정 없이 인터프리터에 의해...",42,"절차적 프로그래밍 언어, 객체지향 프로그래밍 언어, 스크립트 언어, 선언형 언어 등을 포함한 언어특성 활용에 관한 주제입니다.",0.7431252
76,"다음의 페이지 참조 열(Page reference string)에 대해 페이지 교체 기법으로 선입선출 알고리즘을 사용할 경우 페이지 부재(Page Fault) 횟수는? (단, 할당...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.53882957
77,"C언어에서 배열 b[5]의 값은?
            ```c
static int b[9] = {1, 2, 3};
```
        
0
C언어에서 배열 `b[9]`는 크기가...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.5412531
78,"응집도가 가장 낮은 것은?
우연적 응집도
소프트웨어 모듈의 응집도는 모듈 내부 요소들의 관련성을 나타내는 척도입니다.  응집도가 높다는 것은 모듈 내부 요소들이 서로 밀접하게 관련...",14,"단위모듈 구현, 단위모듈 테스트 등을 포함한 모듈 구현에 관한 주제입니다.",0.577685
79,"JAVA 언어에서 접근제한자가 아닌 것은?
package
JAVA에서 접근 제한자는 클래스나 클래스 멤버(변수, 메서드)에 대한 접근 권한을 제어하는 역할을 합니다.  `publi...",42,"절차적 프로그래밍 언어, 객체지향 프로그래밍 언어, 스크립트 언어, 선언형 언어 등을 포함한 언어특성 활용에 관한 주제입니다.",0.6070757
