problem_index,problem_text,top_matches
10,"XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?
정형분석
XP(eXtreme Programming)는 소프트웨어 개발 방법론 중 하나로, 빠르게 변화하...","[{'rank': 1, 'topic_id': 48, 'topic_description': '소프트웨어 개발 표준, 테일러링 기준, 개발 프레임워크를 포함한 소프트웨어개발 방법론 테일러링은 개발 프로세스를 프로젝트에 맞게 조정하는 주제입니다. 유연한 개발 방식을 적용합니다.', 'combined_score': 0.768295597826324, 'sbert_score': 0.71036947, 'keyword_score': 0.09815161277969442}, {'rank': 2, 'topic_id': 47, 'topic_description': '소프트웨어 생명주기 모델, 개발 방법론, 요구공학 방법론, 비용산정 모델을 포함한 소프트웨어개발 방법론 선정은 프로젝트에 적합한 개발 방식을 선택하는 주제입니다. 효율적인 개발 프로세스를 설계합니다.', 'combined_score': 0.7335923049940118, 'sbert_score': 0.6809801, 'keyword_score': 0.09265916440883788}, {'rank': 3, 'topic_id': 15, 'topic_description': 'IDE 도구, 협업도구, 형상관리 도구를 포함한 통합 구현 관리는 소프트웨어 개발 환경을 관리하는 주제입니다. 팀 협업과 코드 버전 관리를 통해 개발 효율성을 높입니다.', 'combined_score': 0.6814407761435404, 'sbert_score': 0.6974455, 'keyword_score': 0.06060095463015236}]"
11,"UML 모델에서 사용하는 Structural Diagram 에 속하지 않은 것은?
Activity Diagram
이 문제는 UML(Unified Modeling Language) ...","[{'rank': 1, 'topic_id': 1, 'topic_description': '플랫폼 기능, 성능 특성, 운영체제, 네트워크, DBMS, 비즈니스융합분석을 포함한 현행 시스템 분석은 시스템의 하드웨어 및 소프트웨어 구성, 성능, 인터페이스를 평가하는 주제입니다. 이를 통해 시스템의 병목 현상을 식별하고 최적화 방안을 도출합니다.', 'combined_score': 0.6393920597253792, 'sbert_score': 0.54924005, 'keyword_score': 0.06328143721558264}, {'rank': 2, 'topic_id': 34, 'topic_description': '물리데이터 모델 품질 기준, E-R 다이어그램, CRUD 분석, SQL 성능 튜닝을 포함한 물리데이터 모델 품질 검토는 데이터베이스 설계의 품질을 검증하는 주제입니다. 성능과 구조를 최적화합니다.', 'combined_score': 0.5943922670719631, 'sbert_score': 0.4975394, 'keyword_score': 0.06212994749661814}, {'rank': 3, 'topic_id': 3, 'topic_description': '모델링 기법, 분석자동화 도구, 요구사항 관리 도구를 포함한 분석모델 확인은 시스템 요구사항을 시각화하고 검증하는 주제입니다. UML 다이어그램과 자동화 도구를 사용해 분석 모델의 정확성과 일관성을 확보합니다.', 'combined_score': 0.5752203298228877, 'sbert_score': 0.591323, 'keyword_score': 0.03232475855782489}]"
12,"소프트웨어 개발 방법 중 요구사항 분석(requirements annalysis)과 거리가 먼 것은?
설계 명세서 작성
소프트웨어 개발은 크게 요구사항 분석, 설계, 구현, 테스트...","[{'rank': 1, 'topic_id': 2, 'topic_description': '요구 분석 기법, UML, 애자일(Agile)을 포함한 요구사항 확인은 사용자와 이해관계자의 요구를 명확히 정의하고 문서화하는 주제입니다. 워크스루, 인스펙션, 프로토타이핑 등의 기법을 활용해 요구사항의 완성도를 높입니다.', 'combined_score': 0.8042189426454093, 'sbert_score': 0.78449136, 'keyword_score': 0.17064709276412932}, {'rank': 2, 'topic_id': 8, 'topic_description': '내외부 인터페이스 요구사항, 요구공학을 포함한 인터페이스 요구사항 확인은 시스템 간 데이터 교환 요구사항을 정의하는 주제입니다. 인터페이스의 기능과 표준을 명확히 설정해 상호운용성을 확보합니다.', 'combined_score': 0.7557119845308958, 'sbert_score': 0.69464, 'keyword_score': 0.19323003948743322}, {'rank': 3, 'topic_id': 19, 'topic_description': '테스트 케이스, 테스트 레벨, 테스트 시나리오, 테스트 지식 체계를 포함한 애플리케이션 테스트케이스 설계는 소프트웨어 품질을 검증하는 주제입니다. 체계적인 테스트 계획을 수립합니다.', 'combined_score': 0.7056884271975544, 'sbert_score': 0.7961488, 'keyword_score': 0.06644157482387132}]"
13,"럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?
객체 모형→동적 모형→기능 모형
럼바우의 객체지향 분석 절차는 시스템을 객체, 동작, 기능의 세 가지 관...","[{'rank': 1, 'topic_id': 7, 'topic_description': '객체지향 프로그래밍(OOP), 디자인 패턴을 포함한 객체지향 설계는 클래스, 상속, 다형성, 캡슐화를 통해 소프트웨어 구조를 설계하는 주제입니다. GoF 디자인 패턴(예: Factory, Singleton)을 활용해 유지보수성을 향상시킵니다.', 'combined_score': 0.7512045751882366, 'sbert_score': 0.7009088, 'keyword_score': 0.06459229029992122}, {'rank': 2, 'topic_id': 1, 'topic_description': '플랫폼 기능, 성능 특성, 운영체제, 네트워크, DBMS, 비즈니스융합분석을 포함한 현행 시스템 분석은 시스템의 하드웨어 및 소프트웨어 구성, 성능, 인터페이스를 평가하는 주제입니다. 이를 통해 시스템의 병목 현상을 식별하고 최적화 방안을 도출합니다.', 'combined_score': 0.7100749240563069, 'sbert_score': 0.6824539, 'keyword_score': 0.055651492566920084}, {'rank': 3, 'topic_id': 52, 'topic_description': 'IT 신기술, 데이터베이스 관리 기능, 표준화를 포함한 DB 구축 관리는 데이터베이스 시스템을 설계하고 관리하는 주제입니다. 데이터 관리의 효율성을 높입니다.', 'combined_score': 0.5954394288647983, 'sbert_score': 0.56639564, 'keyword_score': 0.04826272282807439}]"
14,"공통 모듈에 대한 명세 기법 중 해당 기능에 대해 일관되게 이해하고 한 가지로 해석될 수 있도록 작성하는 원칙은?
명확성
공통 모듈이란 여러 프로그램에서 공통적으로 사용되는 기능을...","[{'rank': 1, 'topic_id': 6, 'topic_description': '설계 모델링, 소프트웨어 아키텍처, 재사용, 모듈화, 결합도, 응집도를 포함한 공통 모듈 설계는 소프트웨어의 재사용 가능한 구성 요소를 설계하는 주제입니다. 모듈 간 독립성을 높이고 시스템 구조를 최적화합니다.', 'combined_score': 0.7382233260699677, 'sbert_score': 0.67277914, 'keyword_score': 0.1468001688101009}, {'rank': 2, 'topic_id': 14, 'topic_description': '단위모듈 구현, 단위모듈 테스트를 포함한 모듈 구현은 소프트웨어의 개별 구성 요소를 개발하고 검증하는 주제입니다. 각 모듈의 독립성과 기능을 보장합니다.', 'combined_score': 0.6001558672679815, 'sbert_score': 0.6643793, 'keyword_score': 0.05039094036614608}, {'rank': 3, 'topic_id': 8, 'topic_description': '내외부 인터페이스 요구사항, 요구공학을 포함한 인터페이스 요구사항 확인은 시스템 간 데이터 교환 요구사항을 정의하는 주제입니다. 인터페이스의 기능과 표준을 명확히 설정해 상호운용성을 확보합니다.', 'combined_score': 0.5659269690513611, 'sbert_score': 0.70740867, 'keyword_score': 0.0}]"
15,"객체지향 기법에서 클래스들 사이의 ‘부분-전체(part-whole)' 관계 또는 ’부분(is-a-part-of)'의 관계로 설명되는 연관성을 나타내는 용어는?
집단화
객체지향 기법...","[{'rank': 1, 'topic_id': 7, 'topic_description': '객체지향 프로그래밍(OOP), 디자인 패턴을 포함한 객체지향 설계는 클래스, 상속, 다형성, 캡슐화를 통해 소프트웨어 구조를 설계하는 주제입니다. GoF 디자인 패턴(예: Factory, Singleton)을 활용해 유지보수성을 향상시킵니다.', 'combined_score': 0.7354800817733795, 'sbert_score': 0.6693501, 'keyword_score': 0.07642769720343207}, {'rank': 2, 'topic_id': 42, 'topic_description': '절차적, 객체지향, 스크립트, 선언형 언어를 포함한 언어특성 활용은 다양한 프로그래밍 언어의 특성을 활용하는 주제입니다. 언어별 최적의 코딩 방식을 적용합니다.', 'combined_score': 0.5729603972977856, 'sbert_score': 0.62419754, 'keyword_score': 0.028126297941252248}, {'rank': 3, 'topic_id': 9, 'topic_description': '시스템 아키텍처, 인터페이스 시스템을 포함한 인터페이스 대상 식별은 시스템 간 연결 대상을 식별하는 주제입니다. 인터페이스의 구조와 역할을 분석해 통합 설계를 지원합니다.', 'combined_score': 0.5520954924719059, 'sbert_score': 0.6693005, 'keyword_score': 0.006364557431539357}]"
16,"CASE가 갖고 있는 주요 기능이 아닌 것은?
언어번역
CASE(Computer-Aided Software Engineering)는 소프트웨어 개발 과정을 지원하는 도구들의 총칭입...","[{'rank': 1, 'topic_id': 48, 'topic_description': '소프트웨어 개발 표준, 테일러링 기준, 개발 프레임워크를 포함한 소프트웨어개발 방법론 테일러링은 개발 프로세스를 프로젝트에 맞게 조정하는 주제입니다. 유연한 개발 방식을 적용합니다.', 'combined_score': 0.7910482834161948, 'sbert_score': 0.75892687, 'keyword_score': 0.1699643822451428}, {'rank': 2, 'topic_id': 47, 'topic_description': '소프트웨어 생명주기 모델, 개발 방법론, 요구공학 방법론, 비용산정 모델을 포함한 소프트웨어개발 방법론 선정은 프로젝트에 적합한 개발 방식을 선택하는 주제입니다. 효율적인 개발 프로세스를 설계합니다.', 'combined_score': 0.7856117605080993, 'sbert_score': 0.7320147, 'keyword_score': 0.18483752925792263}, {'rank': 3, 'topic_id': 15, 'topic_description': 'IDE 도구, 협업도구, 형상관리 도구를 포함한 통합 구현 관리는 소프트웨어 개발 환경을 관리하는 주제입니다. 팀 협업과 코드 버전 관리를 통해 개발 효율성을 높입니다.', 'combined_score': 0.7476283734233886, 'sbert_score': 0.77612394, 'keyword_score': 0.11712159124549354}]"
17,"DBMS 분석시 고려사항으로 거리가 먼 것은?
네트워크 구성도
DBMS(데이터베이스 관리 시스템)를 분석할 때는 여러 가지 중요한 요소들을 고려해야 합니다.  데이터베이스의 안정적...","[{'rank': 1, 'topic_id': 1, 'topic_description': '플랫폼 기능, 성능 특성, 운영체제, 네트워크, DBMS, 비즈니스융합분석을 포함한 현행 시스템 분석은 시스템의 하드웨어 및 소프트웨어 구성, 성능, 인터페이스를 평가하는 주제입니다. 이를 통해 시스템의 병목 현상을 식별하고 최적화 방안을 도출합니다.', 'combined_score': 0.7875612496435401, 'sbert_score': 0.73445153, 'keyword_score': 0.2236359758420308}, {'rank': 2, 'topic_id': 49, 'topic_description': 'IT 신기술, 네트워크 장비(라우터, 백본 스위치)를 포함한 네트워크 구축 관리는 네트워크 인프라를 설계하고 관리하는 주제입니다. 최신 기술을 활용해 안정성을 높입니다.', 'combined_score': 0.6333206515960164, 'sbert_score': 0.6809233, 'keyword_score': 0.09905061152910852}, {'rank': 3, 'topic_id': 31, 'topic_description': '스토리지, 분산 데이터베이스, 이중화 구성, 암호화, 접근제어를 포함한 물리요소 조사 분석은 데이터베이스의 물리적 환경을 분석하는 주제입니다. 안정성과 보안성을 평가합니다.', 'combined_score': 0.6284331932191924, 'sbert_score': 0.74723125, 'keyword_score': 0.03427019744330854}]"
18,"HIPO(Hierarchy Input Process Output)에 대한 설명으로 거리가 먼 것은?
상향식 소프트웨어 개발을 위한 문서화 도구이다.
HIPO는 계층적 입력-처리-출...","[{'rank': 1, 'topic_id': 1, 'topic_description': '플랫폼 기능, 성능 특성, 운영체제, 네트워크, DBMS, 비즈니스융합분석을 포함한 현행 시스템 분석은 시스템의 하드웨어 및 소프트웨어 구성, 성능, 인터페이스를 평가하는 주제입니다. 이를 통해 시스템의 병목 현상을 식별하고 최적화 방안을 도출합니다.', 'combined_score': 0.6541084465072309, 'sbert_score': 0.56763554, 'keyword_score': 0.06074582335001928}, {'rank': 2, 'topic_id': 43, 'topic_description': '라이브러리, 데이터 입출력, 예외 처리, 프로토타입을 포함한 라이브러리 활용은 소프트웨어 기능을 확장하는 주제입니다. 재사용 가능한 코드를 효율적으로 사용합니다.', 'combined_score': 0.6313935138514404, 'sbert_score': 0.61374134, 'keyword_score': 0.04264369906881489}, {'rank': 3, 'topic_id': 15, 'topic_description': 'IDE 도구, 협업도구, 형상관리 도구를 포함한 통합 구현 관리는 소프트웨어 개발 환경을 관리하는 주제입니다. 팀 협업과 코드 버전 관리를 통해 개발 효율성을 높입니다.', 'combined_score': 0.6047934338989278, 'sbert_score': 0.61758524, 'keyword_score': 0.03363047592247705}]"
19,"객체지향 분석 방법론 중 E-R 다이어그램을 사용하여 객체의 행위를 모델링하며, 객체식별, 구조 식별, 주체 정의, 속성 및 관계 정의, 서비스 정의 등의 과정으로 구성되는 것은?...","[{'rank': 1, 'topic_id': 47, 'topic_description': '소프트웨어 생명주기 모델, 개발 방법론, 요구공학 방법론, 비용산정 모델을 포함한 소프트웨어개발 방법론 선정은 프로젝트에 적합한 개발 방식을 선택하는 주제입니다. 효율적인 개발 프로세스를 설계합니다.', 'combined_score': 0.7759091375412626, 'sbert_score': 0.7198864, 'keyword_score': 0.1083613907374926}, {'rank': 2, 'topic_id': 7, 'topic_description': '객체지향 프로그래밍(OOP), 디자인 패턴을 포함한 객체지향 설계는 클래스, 상속, 다형성, 캡슐화를 통해 소프트웨어 구조를 설계하는 주제입니다. GoF 디자인 패턴(예: Factory, Singleton)을 활용해 유지보수성을 향상시킵니다.', 'combined_score': 0.7180752283224535, 'sbert_score': 0.75043833, 'keyword_score': 0.06378398006113811}, {'rank': 3, 'topic_id': 42, 'topic_description': '절차적, 객체지향, 스크립트, 선언형 언어를 포함한 언어특성 활용은 다양한 프로그래밍 언어의 특성을 활용하는 주제입니다. 언어별 최적의 코딩 방식을 적용합니다.', 'combined_score': 0.5982090724624809, 'sbert_score': 0.65691817, 'keyword_score': 0.03937555070864211}]"
20,"정렬된 N개의 데이터를 처리하는데 O(Nlog2N)의 시간이 소요되는 정렬 알고리즘은?
합병정렬
정렬된 N개의 데이터를 처리하는 데 걸리는 시간을 나타내는 표기법 O(Nlog₂N)...","[{'rank': 1, 'topic_id': 11, 'topic_description': '스택, 큐, 리스트, 트리, 그래프를 포함한 자료구조는 데이터 저장과 처리의 효율성을 높이는 주제입니다. 알고리즘과 구조를 활용해 검색, 정렬, 순회 등의 작업을 최적화합니다.', 'combined_score': 0.7601898429326626, 'sbert_score': 0.7002373, 'keyword_score': 0.08158840703214472}, {'rank': 2, 'topic_id': 37, 'topic_description': '데이터 품질 분석, 오류 데이터 측정을 포함한 데이터 정제는 데이터의 정확성과 완전성을 높이는 주제입니다. 데이터 오류를 식별하고 정정합니다.', 'combined_score': 0.5174403292507349, 'sbert_score': 0.5538063, 'keyword_score': 0.030348961699530302}, {'rank': 3, 'topic_id': 13, 'topic_description': '쿼리 성능 측정, 소스코드 인스펙션을 포함한 데이터 조작 프로시저 최적화는 데이터 처리 성능을 개선하는 주제입니다. 쿼리 튜닝과 코드 검토를 통해 효율성을 높입니다.', 'combined_score': 0.5167052390023621, 'sbert_score': 0.629976, 'keyword_score': 0.005190827262627051}]"
